FAMILIAS,,pieza,ANCHO,ALTO,MATERIAL,COLOR,APERTURA,MALLORQUINA,CIERRES,MARCO INTERIOR,HUELLA,TAPAJUNTAS,FORRO EXTERIOR,CRISTAL,INSTALACIÓN,REMATES ALBAÑILERÍA,MARCO,HERRAJE,,,Solape ,,,,,,,Manoblock,,,
correderas,,ancho,números,números.,pvc,ral,vista,lama móvil,cremona,,,30,pletina,Cámara ,,,abierto,mismo color,,,,lama,Ángulo ,,Mate ,,,Color lama ,,,
practicables,,alto,voz,voz.,aluminio,anonizados,abre,lama fija,cerradura.,,,40,40.,4/cámara/6,,,solera,bisagras seguridad,,,Otro,,40x20,,Carglass ,Guardia sun ,,Instalación eléctrica ,Recogedor emp,Izquierda ,Derecha 
puertas,,material,,,,madera,mano,travesaño horizontal,cerradura 3 puntos,,,60,60.,4/camara/4+4,,,cerrado,cierre clío + uñero ext,,,Arriba ,,40x40,,,,,,Recogedor abat,Izquierda ,Derecha 
puertas apertura exterior,,color,,,,blanco,oscilobatiente,travesaño vertical,pasadores,,,80,otro.....,6/?/4+4 silenc ,,,,muelle,,,No/números ,,60x40,,,,,,Motor,Cable izquierda ,Cable derecha 
elevadoras,,apertura,,,,embero,piven,cruceta,maneta presión,,,100,,4+4,,,,cerradura electrónica,,,,,,,,,,,,,
persianas,,mallorquina,,,,nogal,,otro..,maneta interior/exterior,,,,,5+5,,,,tirador ext,,,Abajo ,,,,,,,,,,
barandillas ,,cierres,,,,pino envejecido,VISTA,,solo maneta interior ,,,,,6+6,,,,tirador ext/int,,,No/números ,,,,,,,,,,
puerta bandera,,cerradura,,,,plata,dentro,,solo maneta exterior,,,,,otro......,,,,,,,,,,,,,,,,,
,,marco interior,,,,bronce,fuera,,otro...,,,,,,,,,,,,Izquierda ,,,,,,,,,,
,,huella,,,,inox,,,,,,,,,,,,,,,No/números ,,,,,,,,,,
,,tapajuntas,,,,verde 6009,ABRE,,,,,,,,,,,,,,,,,,,,,,,,
,,forro exterior ,,,,verde 6002,interior,,,,,,,,,,,,,,Derecha ,,,,,,,,,,
,,cristal,,,,marrón 8014,exterior,,,,,,,,,,,,,,No/números ,,,,,,,,,,
,,instalación,,,,crema 1015,,,,,,,,,,,,,,,,,,,,,,,,,
,,remates albañilería,,,,ral.7022,MANO,,,,,,,,,,,,,,,,,,,,,,,,
,,marco,,,,ral.7016,izquierda,,,,,,,,,,,,,,,,,,,,,,,,
,,herraje,,,,plata ext/blanco int,derecha,,,,,,,,,,,,,,,,,,,,,,,,
,,añadir foto,,,,embero ext/blanco int,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,bronce exte/blanco int,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,blanco ext/embero int,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,carta ral,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANONIZADOS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,plata.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,inox.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MADERA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,embero.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nogal.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pino envejecido.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,pino pollo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,otro,,,,,,,,,,,,,,,,,,,,,,,,,